y,left_x,right_x,width
1416,1054,2016,963
1417,1055,2015,961
1418,1056,2014,959
1419,1057,2013,957
1420,1058,2012,955
1421,1058,2012,955
1422,1059,2011,953
1423,1060,2010,951
1424,1061,2009,949
1425,1062,2008,947
1426,1063,2007,945
1427,1064,2006,943
1428,1065,2005,941
1429,1066,2004,939
1430,1067,2003,937
1431,1068,2002,935
1432,1069,2001,933
1433,1070,2000,931
1434,1071,1999,929
1435,1072,1998,927
1436,1073,1997,925
1437,1074,1996,923
1438,1075,1995,921
1439,1076,1994,919
1440,1077,1993,917
1441,1078,1992,915
1442,1079,1991,913
1443,1080,1990,911
1444,1081,1989,909
1445,1082,1988,907
1446,1083,1987,905
1447,1084,1986,903
1448,1085,1985,901
1449,1086,1984,899
1450,1087,1983,897
1451,1088,1982,895
1452,1089,1981,893
1453,1090,1980,891
1454,1092,1978,887
1455,1093,1977,885
1456,1094,1976,883
1457,1095,1975,881
1458,1096,1974,879
1459,1097,1973,877
1460,1098,1972,875
1461,1099,1971,873
1462,1100,1970,871
1463,1101,1969,869
1464,1103,1967,865
1465,1104,1966,863
1466,1105,1965,861
1467,1106,1964,859
1468,1107,1963,857
1469,1108,1962,855
1470,1109,1961,853
1471,1111,1959,849
1472,1112,1958,847
1473,1113,1957,845
1474,1114,1956,843
1475,1115,1955,841
1476,1116,1954,839
1477,1118,1952,835
1478,1119,1951,833
1479,1120,1950,831
1480,1121,1949,829
1481,1122,1948,827
1482,1124,1946,823
1483,1125,1945,821
1484,1126,1944,819
1485,1127,1943,817
1486,1129,1941,813
1487,1130,1940,811
1488,1131,1939,809
1489,1133,1937,805
1490,1134,1936,803
1491,1135,1935,801
1492,1136,1934,799
1493,1138,1932,795
1494,1139,1931,793
1495,1140,1930,791
1496,1141,1929,789
1497,1143,1927,785
1498,1144,1926,783
1499,1145,1925,781
1500,1147,1923,777
1501,1148,1922,775
1502,1149,1921,773
1503,1151,1919,769
1504,1152,1918,767
1505,1154,1916,763
1506,1155,1915,761
1507,1157,1913,757
1508,1158,1912,755
1509,1159,1911,753
1510,1161,1909,749
1511,1162,1908,747
1512,1164,1906,743
1513,1165,1905,741
1514,1166,1904,739
1515,1168,1902,735
1516,1169,1901,733
1517,1171,1899,729
1518,1172,1898,727
1519,1174,1896,723
1520,1175,1895,721
1521,1177,1893,717
1522,1178,1892,715
1523,1180,1890,711
1524,1182,1888,707
1525,1183,1887,705
1526,1185,1885,701
1527,1186,1884,699
1528,1188,1882,695
1529,1189,1881,693
1530,1191,1879,689
1531,1192,1878,687
1532,1194,1876,683
1533,1196,1874,679
1534,1197,1873,677
1535,1199,1871,673
1536,1201,1869,669
1537,1202,1868,667
1538,1204,1866,663
1539,1206,1864,659
1540,1208,1862,655
1541,1209,1861,653
1542,1211,1859,649
1543,1213,1857,645
1544,1214,1856,643
1545,1216,1854,639
1546,1218,1852,635
1547,1220,1850,631
1548,1221,1849,629
1549,1223,1847,625
1550,1225,1845,621
1551,1227,1843,617
1552,1229,1841,613
1553,1231,1839,609
1554,1233,1837,605
1555,1235,1835,601
1556,1237,1833,597
1557,1239,1831,593
1558,1241,1829,589
1559,1243,1827,585
1560,1245,1825,581
1561,1246,1824,579
1562,1248,1822,575
1563,1250,1820,571
1564,1252,1818,567
1565,1254,1816,563
1566,1257,1813,557
1567,1259,1811,553
1568,1261,1809,549
1569,1263,1807,545
1570,1266,1804,539
1571,1268,1802,535
1572,1270,1800,531
1573,1272,1798,527
1574,1274,1796,523
1575,1277,1793,517
1576,1279,1791,513
1577,1281,1789,509
1578,1283,1787,505
1579,1286,1784,499
1580,1289,1781,493
1581,1291,1779,489
1582,1294,1776,483
1583,1296,1774,479
1584,1299,1771,473
1585,1301,1769,469
1586,1304,1766,463
1587,1306,1764,459
1588,1309,1761,453
1589,1311,1759,449
1590,1314,1756,443
1591,1317,1753,437
1592,1320,1750,431
1593,1323,1747,425
1594,1326,1744,419
1595,1329,1741,413
1596,1332,1738,407
1597,1335,1735,401
1598,1338,1732,395
1599,1341,1729,389
1600,1344,1726,383
1601,1348,1722,375
1602,1351,1719,369
1603,1354,1716,363
1604,1358,1712,355
1605,1362,1708,347
1606,1365,1705,341
1607,1369,1701,333
1608,1373,1697,325
1609,1377,1693,317
1610,1381,1689,309
1611,1385,1685,301
1612,1389,1681,293
1613,1394,1676,283
1614,1398,1672,275
1615,1403,1667,265
1616,1408,1662,255
1617,1413,1657,245
1618,1418,1652,235
1619,1424,1646,223
1620,1430,1640,211
1621,1436,1634,199
1622,1443,1627,185
1623,1451,1619,169
1624,1459,1611,153
1625,1468,1602,135
1626,1479,1591,113
1627,1492,1578,87
1628,1511,1559,49
