x,top_y,bottom_y,height
1433,324,1628,1305
1434,324,1628,1305
1435,324,1628,1305
1436,324,1628,1305
1437,324,1628,1305
1438,324,1628,1305
1439,324,1628,1305
1440,324,1628,1305
1441,324,1628,1305
1442,324,1628,1305
1443,324,1628,1305
1444,324,1628,1305
1445,324,1628,1305
1446,324,1628,1305
1447,324,1628,1305
1448,324,1628,1305
1449,324,1628,1305
1450,324,1628,1305
1451,324,1628,1305
1452,324,1628,1305
1453,324,1628,1305
1454,324,1628,1305
1455,324,1628,1305
1456,324,1628,1305
1457,324,1628,1305
1458,324,1628,1305
1459,324,1628,1305
1460,324,1628,1305
1461,324,1628,1305
1462,324,1628,1305
1463,324,1628,1305
1464,324,1628,1305
1465,324,1628,1305
1466,324,1628,1305
1467,324,1628,1305
1468,324,1628,1305
1469,324,1628,1305
1470,324,1628,1305
1471,324,1628,1305
1472,324,1628,1305
1473,324,1628,1305
1474,324,1628,1305
1475,324,1628,1305
1476,324,1628,1305
1477,324,1628,1305
1478,324,1628,1305
1479,324,1628,1305
1480,324,1628,1305
1481,324,1628,1305
1482,324,1628,1305
1483,324,1628,1305
1484,324,1628,1305
1485,324,1628,1305
1486,324,1628,1305
1487,324,1628,1305
1488,324,1628,1305
1489,324,1628,1305
1490,324,1628,1305
1491,324,1628,1305
1492,324,1628,1305
1493,324,1628,1305
1494,324,1628,1305
1495,324,1628,1305
1496,324,1628,1305
1497,324,1628,1305
1498,324,1628,1305
1499,324,1628,1305
1500,324,1628,1305
1501,324,1628,1305
1502,324,1628,1305
1503,324,1628,1305
1504,324,1628,1305
1505,324,1628,1305
1506,324,1628,1305
1507,324,1628,1305
1508,324,1628,1305
1509,324,1628,1305
1510,324,1628,1305
1511,324,1628,1305
1512,324,1628,1305
1513,324,1628,1305
1514,324,1628,1305
1515,324,1628,1305
1516,324,1628,1305
1517,324,1628,1305
1518,324,1628,1305
1519,324,1628,1305
1520,324,1628,1305
1521,324,1628,1305
1522,324,1628,1305
1523,324,1628,1305
